seq,status,search_name,player,is_rc,card_count,type_count,types,teams
62,done,Cyrus Allen,Cyrus Allen,Yes,1,1,Base Cards I,Kansas City Chiefs
63,done,Dak Prescott,Dak Prescott,,5,5,Base Cards I|1991 Topps Football|1991 Topps Football Chrome|Pressure Cookers|NFL Stars,Dallas Cowboys
64,done,Dan Marino,Dan Marino,,1,1,Greats Of The Game,Miami Dolphins
65,done,Dani Dennis-Sutton,Dani Dennis-Sutton,Yes,1,1,Base Cards I,Green Bay Packers
66,done,Daniel Jones,Daniel Jones,,3,3,Base Cards I|25 All Topps Team|Pressure Cookers,Indianapolis Colts
67,done,Davante Adams,Davante Adams,,2,2,Base Cards I|Big Ticket Players,Los Angeles Rams
68,done,David Bailey,David Bailey,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,New York Jets
69,done,Davison Igbinosun,Davison Igbinosun,Yes,1,1,Base Cards I,Buffalo Bills
70,done,De'Von Achane,De'Von Achane,,3,3,Base Cards I|1991 Topps Football|1991 Topps Football Chrome,Miami Dolphins
71,done,De'Zhaun Stribling,De'Zhaun Stribling,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,San Francisco 49ers
72,done,Deion Burks,Deion Burks,Yes,1,1,Base Cards I,Indianapolis Colts
73,done,Deion Sanders,Deion Sanders,,1,1,Greats Of The Game,Dallas Cowboys
74,done,Demond Claiborne,Demond Claiborne,Yes,1,1,Base Cards I,Minnesota Vikings
75,done,Denzel Boston,Denzel Boston,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Cleveland Browns
76,done,Derrick Henry,Derrick Henry,,3,3,Base Cards I|Big Ticket Players|NFL Stars,Baltimore Ravens
77,done,Derrick Moore,Derrick Moore,Yes,1,1,Base Cards I,Detroit Lions
78,done,DeVonta Smith,DeVonta Smith,,2,2,Base Cards I|Big Ticket Players,Philadelphia Eagles
79,done,Dillon Thieneman,Dillon Thieneman,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Chicago Bears
80,done,DJ Moore,DJ Moore,,2,2,Base Cards I|25 Greatest Hits,Buffalo Bills|Chicago Bears
81,done,Drake London,Drake London,,5,5,Base Cards I|1991 Topps Football|1991 Topps Football Chrome|Big Ticket Players|NFL Stars,Atlanta Falcons
82,done,Drake Maye,Drake Maye,,6,6,Base Cards I|25 All Topps Team|1991 Topps Football|1991 Topps Football Chrome|Pressure Cookers|NFL Stars,New England Patriots
83,done,Drew Allar,Drew Allar,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Pittsburgh Steelers
84,done,Earl Campbell,Earl Campbell,,1,1,Greats Of The Game,
85,done,Ed Reed,Ed Reed,,1,1,Greats Of The Game,Baltimore Ravens
86,done,Eli Heidenreich,Eli Heidenreich,Yes,1,1,Base Cards I,Pittsburgh Steelers
87,done,Eli Raridon,Eli Raridon,Yes,1,1,Base Cards I,New England Patriots
88,done,Eli Stowers,Eli Stowers,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Philadelphia Eagles
89,done,Elijah Sarratt,Elijah Sarratt,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Baltimore Ravens
90,done,Emeka Egbuka,Emeka Egbuka,,2,2,Base Cards I|25 All Topps Team,Tampa Bay Buccaneers
91,done,Emmanuel Henderson Jr.,Emmanuel Henderson Jr.,Yes,1,1,Base Cards I,Seattle Seahawks
92,done,Emmett Johnson,Emmett Johnson,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Kansas City Chiefs
93,done,Emmitt Smith,Emmitt Smith,,1,1,Greats Of The Game,Dallas Cowboys
94,done,Eric Dickerson,Eric Dickerson,,1,1,Greats Of The Game,Los Angeles Rams
95,done,Fernando Mendoza,Fernando Mendoza,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Las Vegas Raiders
96,done,Fran Tarkenton,Fran Tarkenton,,1,1,Greats Of The Game,Minnesota Vikings
97,done,Francis Mauigoa,Francis Mauigoa,Yes,1,1,Base Cards I,New York Giants
98,done,Garrett Nussmeier,Garrett Nussmeier,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Kansas City Chiefs
99,done,Garrett Wilson,Garrett Wilson,,4,4,Base Cards I|1991 Topps Football|1991 Topps Football Chrome|Big Ticket Players,New York Jets
100,done,George Kittle,George Kittle,,2,2,Base Cards I|Big Ticket Players,San Francisco 49ers
101,done,George Pickens,George Pickens,,2,2,Base Cards I|Big Ticket Players,Dallas Cowboys
102,done,Germie Bernard,Germie Bernard,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Pittsburgh Steelers
103,done,Howie Long,Howie Long,,1,1,Greats Of The Game,
104,done,Isaac TeSlaa,Isaac TeSlaa,,2,2,Base Cards I|25 Greatest Hits,Detroit Lions
105,done,J.J. McCarthy,J.J. McCarthy,,4,4,Base Cards I|1991 Topps Football|1991 Topps Football Chrome|Pressure Cookers,Minnesota Vikings
106,done,Ja'Kobi Lane,Ja'Kobi Lane,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Baltimore Ravens
107,done,Ja'Marr Chase,Ja'Marr Chase,,6,6,Base Cards I|25 All Topps Team|1991 Topps Football|1991 Topps Football Chrome|Big Ticket Players|NFL Stars,Cincinnati Bengals
108,done,Jacob Rodriguez,Jacob Rodriguez,Yes,1,1,Base Cards I,Miami Dolphins
109,done,Jadarian Price,Jadarian Price,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Seattle Seahawks
110,done,Jahmyr Gibbs,Jahmyr Gibbs,,4,4,Base Cards I|1991 Topps Football|1991 Topps Football Chrome|NFL Stars,Detroit Lions
111,done,Jalen Hurts,Jalen Hurts,,5,5,Base Cards I|1991 Topps Football|1991 Topps Football Chrome|Pressure Cookers|NFL Stars,Philadelphia Eagles
112,done,Jam Miller,Jam Miller,Yes,1,1,Base Cards I,New England Patriots
113,done,Jameis Winston,Jameis Winston,,1,1,25 Greatest Hits,New York Giants
114,done,James Cook,James Cook,,5,5,Base Cards I|1991 Topps Football|1991 Topps Football Chrome|Big Ticket Players|NFL Stars,Buffalo Bills
115,done,Jared Goff,Jared Goff,,4,4,Base Cards I|1991 Topps Football|1991 Topps Football Chrome|Pressure Cookers,Detroit Lions
116,done,Jaxon Smith-Njigba,Jaxon Smith-Njigba,,4,4,Base Cards I|1991 Topps Football|1991 Topps Football Chrome|NFL Stars,Seattle Seahawks
117,done,Jaxson Dart,Jaxson Dart,,5,5,Base Cards I|1991 Topps Football|1991 Topps Football Chrome|Pressure Cookers|NFL Stars,New York Giants
118,done,Jayden Daniels,Jayden Daniels,,5,5,Base Cards I|1991 Topps Football|1991 Topps Football Chrome|Pressure Cookers|NFL Stars,Washington Commanders
119,done,Jeremiyah Love,Jeremiyah Love,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Arizona Cardinals
120,done,Jerry Rice,Jerry Rice,,1,1,Greats Of The Game,San Francisco 49ers
121,done,Jim Kelly,Jim Kelly,,1,1,Greats Of The Game,Buffalo Bills
122,done,Joe Burrow,Joe Burrow,,6,6,Base Cards I|1991 Topps Football|1991 Topps Football Chrome|Big Ticket Players|Pressure Cookers|NFL Stars,Cincinnati Bengals
123,done,Joe Flacco,Joe Flacco,,1,1,Ring Of Honor,Baltimore Ravens
124,done,Joe Montana,Joe Montana,,1,1,Greats Of The Game,San Francisco 49ers
125,done,John Elway,John Elway,,1,1,Greats Of The Game,Denver Broncos
126,done,Jonah Coleman,Jonah Coleman,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Denver Broncos
127,done,Jonathan Taylor,Jonathan Taylor,,6,6,Base Cards I|25 All Topps Team|1991 Topps Football|1991 Topps Football Chrome|Big Ticket Players|NFL Stars,Indianapolis Colts
128,done,Jordan Davis,Jordan Davis,,2,2,Base Cards I|25 Greatest Hits,Philadelphia Eagles
129,done,Jordan Love,Jordan Love,,5,5,Base Cards I|1991 Topps Football|1991 Topps Football Chrome|Pressure Cookers|NFL Stars,Green Bay Packers
130,done,Jordyn Tyson,Jordyn Tyson,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,New Orleans Saints
131,done,Josh Allen,Josh Allen,,6,6,Base Cards I|1991 Topps Football|1991 Topps Football Chrome|Big Ticket Players|Pressure Cookers|NFL Stars,Buffalo Bills
132,done,Josh Cameron,Josh Cameron,Yes,1,1,Base Cards I,Jacksonville Jaguars
133,done,Josh Jacobs,Josh Jacobs,,2,2,Base Cards I|Big Ticket Players,Green Bay Packers
134,done,Justin Herbert,Justin Herbert,,6,6,Base Cards I|25 All Topps Team|1991 Topps Football|1991 Topps Football Chrome|Pressure Cookers|NFL Stars,Los Angeles Chargers
135,done,Justin Jefferson,Justin Jefferson,,4,4,Base Cards I|1991 Topps Football|1991 Topps Football Chrome|NFL Stars,Minnesota Vikings
136,done,Kaden Wetjen,Kaden Wetjen,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Pittsburgh Steelers
137,done,Kadyn Proctor,Kadyn Proctor,Yes,1,1,Base Cards I,Miami Dolphins
138,done,Kaelon Black,Kaelon Black,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,San Francisco 49ers
139,done,Kayden McDonald,Kayden McDonald,Yes,1,1,Base Cards I,Houston Texans
140,done,Kayshon Boutte,Kayshon Boutte,,2,2,Base Cards I|25 Greatest Hits,New England Patriots
141,done,Kaytron Allen,Kaytron Allen,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Washington Commanders
142,done,KC Concepcion,KC Concepcion,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Cleveland Browns
143,done,Keenan Allen,Keenan Allen,,1,1,25 All Topps Team,Los Angeles Chargers
144,done,Keldric Faulk,Keldric Faulk,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Tennessee Titans
145,done,Kendrick Law,Kendrick Law,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Detroit Lions
146,done,Kenneth Gainwell,Kenneth Gainwell,,1,1,25 Greatest Hits,Pittsburgh Steelers
147,done,Kenyon Sadiq,Kenyon Sadiq,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,New York Jets
148,done,Kevin Coleman Jr.,Kevin Coleman Jr.,Yes,1,1,Base Cards I,Miami Dolphins
149,done,Kyler Murray,Kyler Murray,,2,2,Base Cards I|Pressure Cookers,Minnesota Vikings
150,done,Kyren Williams,Kyren Williams,,2,2,Base Cards I|NFL Stars,Los Angeles Rams
151,done,Ladd McConkey,Ladd McConkey,,2,2,Base Cards I|Big Ticket Players,Los Angeles Chargers
152,done,Lamar Jackson,Lamar Jackson,,6,6,Base Cards I|1991 Topps Football|1991 Topps Football Chrome|Big Ticket Players|Pressure Cookers|NFL Stars,Baltimore Ravens
153,done,Lawrence Taylor,Lawrence Taylor,,1,1,Greats Of The Game,New York Giants
154,done,Lewis Bond,Lewis Bond,Yes,1,1,Base Cards I,Houston Texans
155,done,Logan Jones,Logan Jones,Yes,1,1,Base Cards I,Chicago Bears
156,done,Luther Burden III,Luther Burden III,,4,4,Base Cards I|25 Greatest Hits|1991 Topps Football|1991 Topps Football Chrome,Chicago Bears
157,done,Makai Lemon,Makai Lemon,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Philadelphia Eagles
158,done,Malachi Fields,Malachi Fields,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,New York Giants
159,done,Malachi Lawrence,Malachi Lawrence,Yes,1,1,Base Cards I,Dallas Cowboys
160,done,Malcolm Smith,Malcolm Smith,,1,1,Ring Of Honor,Seattle Seahawks
161,done,Malik Benson,Malik Benson,Yes,1,1,Base Cards I,Las Vegas Raiders
162,done,Malik Nabers,Malik Nabers,,2,2,Base Cards I|NFL Stars,New York Giants
163,done,Mansoor Delane,Mansoor Delane,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Kansas City Chiefs
164,done,Marshall Faulk,Marshall Faulk,,1,1,Greats Of The Game,
165,done,Marvin Harrison Jr.,Marvin Harrison Jr.,,3,3,Base Cards I|1991 Topps Football|1991 Topps Football Chrome,Arizona Cardinals
166,done,Matthew Stafford,Matthew Stafford,,6,6,Base Cards I|25 Greatest Hits|1991 Topps Football|1991 Topps Football Chrome|Pressure Cookers|NFL Stars,Los Angeles Rams
167,done,Max Klare,Max Klare,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Los Angeles Rams
168,done,Micah Parsons,Micah Parsons,,4,4,Base Cards I|25 All Topps Team|1991 Topps Football|1991 Topps Football Chrome,Green Bay Packers
169,done,MIchael Irvin,MIchael Irvin,,1,1,Greats Of The Game,Dallas Cowboys
170,done,Michael Penix Jr.,Michael Penix Jr.,,4,4,Base Cards I|1991 Topps Football|1991 Topps Football Chrome|Pressure Cookers,Atlanta Falcons
171,done,Michael Wilson,Michael Wilson,,2,2,Base Cards I|25 Greatest Hits,Arizona Cardinals
172,done,Mike Alstott,Mike Alstott,,1,1,Greats Of The Game,Tampa Bay Buccaneers
173,done,Mike Washington Jr.,Mike Washington Jr.,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Las Vegas Raiders
174,done,Monroe Freeling,Monroe Freeling,Yes,1,1,Base Cards I,Carolina Panthers
175,done,Myles Garrett,Myles Garrett,,6,6,Base Cards I|25 All Topps Team|25 Greatest Hits|1991 Topps Football|1991 Topps Football Chrome|NFL Stars,Cleveland Browns
176,done,Nick Singleton,Nick Singleton,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Tennessee Titans
177,done,Nico Collins,Nico Collins,,4,4,Base Cards I|1991 Topps Football|1991 Topps Football Chrome|NFL Stars,Houston Texans
178,done,Nik Bonitto,Nik Bonitto,,2,2,Base Cards I|25 Greatest Hits,Denver Broncos
179,done,Olaivavega Ioane,Olaivavega Ioane,Yes,1,1,Base Cards I,Baltimore Ravens
180,done,Omar Cooper Jr.,Omar Cooper Jr.,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,New York Jets
181,done,Ozzie Newsome,Ozzie Newsome,,1,1,Greats Of The Game,Cleveland Browns
182,done,Pat Surtain II,Pat Surtain II,,2,2,Base Cards I|25 All Topps Team,Denver Broncos
183,done,Patrick Mahomes,Patrick Mahomes,,1,1,Pressure Cookers,Kansas City Chiefs
184,done,Patrick Mahomes II,Patrick Mahomes II,,5,5,Base Cards I|25 All Topps Team|1991 Topps Football|1991 Topps Football Chrome|NFL Stars,Kansas City Chiefs
185,done,Peter Woods,Peter Woods,Yes,1,1,Base Cards I,Kansas City Chiefs
186,done,Peyton Manning,Peyton Manning,,1,1,Greats Of The Game,Indianapolis Colts
187,done,Puka Nacua,Puka Nacua,,5,5,Base Cards I|25 Greatest Hits|1991 Topps Football|1991 Topps Football Chrome|NFL Stars,Los Angeles Rams
188,done,Quinn Ewers,Quinn Ewers,,2,2,Base Cards I|Pressure Cookers,Miami Dolphins
189,done,Quinshon Judkins,Quinshon Judkins,,2,2,1991 Topps Football|1991 Topps Football Chrome,Cleveland Browns
190,done,Ray Lewis,Ray Lewis,,1,1,Greats Of The Game,Baltimore Ravens
191,done,Reggie Virgil,Reggie Virgil,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Arizona Cardinals
192,done,Roger Staubach,Roger Staubach,,1,1,Greats Of The Game,Dallas Cowboys
193,done,Romello Height,Romello Height,Yes,1,1,Base Cards I,San Francisco 49ers
194,done,Rueben Bain Jr.,Rueben Bain Jr.,Yes,1,1,Base Cards I,Tampa Bay Buccaneers
195,done,Sam Darnold,Sam Darnold,,5,5,Base Cards I|1991 Topps Football|1991 Topps Football Chrome|Big Ticket Players|Pressure Cookers,Seattle Seahawks
196,done,Saquon Barkley,Saquon Barkley,,5,5,Base Cards I|25 All Topps Team|1991 Topps Football|1991 Topps Football Chrome|NFL Stars,Philadelphia Eagles
197,done,Seth McGowan,Seth McGowan,Yes,1,1,Base Cards I,Indianapolis Colts
198,done,Shedeur Sanders,Shedeur Sanders,,2,2,Base Cards I|Pressure Cookers,Cleveland Browns
199,done,Skyler Bell,Skyler Bell,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Buffalo Bills
200,done,Sonny Styles,Sonny Styles,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Washington Commanders
201,done,Spencer Fano,Spencer Fano,Yes,1,1,Base Cards I,Cleveland Browns
202,done,T.J. Parker,T.J. Parker,Yes,1,1,Base Cards I,Buffalo Bills
203,done,Taylen Green,Taylen Green,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Cleveland Browns
204,done,Ted Hurst,Ted Hurst,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Tampa Bay Buccaneers
205,done,Terry McLaurin,Terry McLaurin,,2,2,Base Cards I|Big Ticket Players,Washington Commanders
206,done,Tetairoa McMillan,Tetairoa McMillan,,4,4,Base Cards I|1991 Topps Football|1991 Topps Football Chrome|Big Ticket Players,Carolina Panthers
207,done,Tom Brady,Tom Brady,,3,2,Greats Of The Game|Ring Of Honor,New England Patriots|Tampa Bay Buccaneers
208,done,Travis Hunter,Travis Hunter,,4,4,Base Cards I|1991 Topps Football|1991 Topps Football Chrome|Big Ticket Players,Jacksonville Jaguars
209,done,TreVeyon Henderson,TreVeyon Henderson,,2,2,Base Cards I|25 Greatest Hits,New England Patriots
210,done,Trevor Lawrence,Trevor Lawrence,,6,6,Base Cards I|25 Greatest Hits|1991 Topps Football|1991 Topps Football Chrome|Pressure Cookers|NFL Stars,Jacksonville Jaguars
211,done,Trey McBride,Trey McBride,,2,2,Base Cards I|25 All Topps Team,Arizona Cardinals
212,done,Treylon Burks,Treylon Burks,,1,1,25 Greatest Hits,Washington Commanders
213,done,Troy Polamalu,Troy Polamalu,,1,1,Greats Of The Game,Pittsburgh Steelers
214,done,Ty Simpson,Ty Simpson,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Los Angeles Rams
215,done,Tyler Onyedim,Tyler Onyedim,Yes,1,1,Base Cards I,Denver Broncos
216,done,Tyler Shough,Tyler Shough,,2,2,Base Cards I|Pressure Cookers,New Orleans Saints
217,done,Tyler Warren,Tyler Warren,,4,4,Base Cards I|25 All Topps Team|1991 Topps Football|1991 Topps Football Chrome,Indianapolis Colts
218,done,Uar Bernard,Uar Bernard,Yes,1,1,Base Cards I,Philadelphia Eagles
219,done,Uchenna Nwosu,Uchenna Nwosu,,1,1,25 Greatest Hits,Seattle Seahawks
220,done,Von Miller,Von Miller,,1,1,Ring Of Honor,Denver Broncos
221,done,Warren Sapp,Warren Sapp,,1,1,Greats Of The Game,Tampa Bay Buccaneers
222,done,Zach Charbonnet,Zach Charbonnet,,2,2,Base Cards I|25 Greatest Hits,Seattle Seahawks
223,done,Zachariah Branch,Zachariah Branch,Yes,1,1,Base Cards I,Atlanta Falcons
224,done,Zavion Thomas,Zavion Thomas,Yes,3,3,Base Cards I|1991 Topps Rookies Football|1991 Topps Rookies Football Chrome,Chicago Bears
225,done,Zion Young,Zion Young,Yes,1,1,Base Cards I,Baltimore Ravens
