set_key,year,brand,product,player_name_key,player_name_display,card_count,section_count,sections,affiliation_count,affiliations
2025_bowman_chrome,2025,Bowman,Chrome,angel cepeda,Angel Cepeda,1,1,BOWMAN CHROME PROSPECT AUTOGRAPHS,1,Chicago Cubs
2025_bowman_chrome,2025,Bowman,Chrome,angel martínez,Angel Martínez,1,2,BASE CARDS|BASE CARDS CHROME ROOKIE RED RC VARIATION,1,Cleveland Guardians	Rookie
2025_bowman_chrome,2025,Bowman,Chrome,anyelo marquez,Anyelo Marquez,2,2,BOWMAN CHROME PROSPECT AUTOGRAPHS|BOWMAN CHROME PROSPECTS,1,Los Angeles Angels
2025_bowman_chrome,2025,Bowman,Chrome,arjun nimmala,Arjun Nimmala,3,3,BOWMAN CHROME PROSPECTS|MELT MASHERS|MELT MASHERS AUTOGRAPH VARIATION,1,Toronto Blue Jays
2025_bowman_chrome,2025,Bowman,Chrome,asbel gonzalez,Asbel Gonzalez,1,1,BOWMAN CHROME PROSPECT AUTOGRAPHS,1,Kansas City Royals
2025_bowman_chrome,2025,Bowman,Chrome,athletics,Athletics,2,7,AAV-NK|BCAR-JWI|CRA-JWI|CRA-NK|MMA-JWI|MMA-NK|MVA-NK,1,Rookie
2025_bowman_chrome,2025,Bowman,Chrome,atlanta braves,Atlanta Braves,2,4,BCAR-DB|CRA-DB|CRA-HW|MMA-DB,1,Rookie
2025_bowman_chrome,2025,Bowman,Chrome,ayden johnson,Ayden Johnson,2,4,BOWMAN CHROME PROSPECT AUTOGRAPHS|BOWMAN CHROME PROSPECTS|INTERNATIONAL REFRACTOR AUTOGRAPH VARIATION|INTERNATIONAL REFRACTOR VARIATION,1,Athletics
2025_bowman_chrome,2025,Bowman,Chrome,baltimore orioles,Baltimore Orioles,1,5,AAV-CM|BAA-CM|BCAR-CM|CRA-CM|MVA-CM,1,Rookie
2025_bowman_chrome,2025,Bowman,Chrome,blake snell,Blake Snell,1,1,BASE CARDS,1,Los Angeles Dodgers
2025_bowman_chrome,2025,Bowman,Chrome,blake wolters,Blake Wolters,1,1,BOWMAN CHROME PROSPECT AUTOGRAPHS,1,Kansas City Royals
2025_bowman_chrome,2025,Bowman,Chrome,bo bichette,Bo Bichette,1,1,BASE CARDS,1,Toronto Blue Jays
2025_bowman_chrome,2025,Bowman,Chrome,bo davidson,Bo Davidson,2,2,BOWMAN CHROME PROSPECT AUTOGRAPHS|BOWMAN CHROME PROSPECTS,1,San Francisco Giants
