player,price,card_type,title
,1,Pick / set builder,PAPER - Pick your players- (BD-1 - BD-200) ***PRE ORDER***
,1,Pick / set builder,PAPER - Pick your players- (BD-1 - BD-200) ***PRE ORDER***
,1,Pick / set builder,PAPER - Pick your players- (BD-1 - BD-200) ***PRE ORDER***
,1,Pick / set builder,PAPER - Pick your players- (BD-1 - BD-200) ***PRE ORDER***
,1,Pick / set builder,PAPER - Pick your players- (BD-1 - BD-200) ***PRE ORDER***
,1,Pick / set builder,PAPER - Pick your players- (BD-1 - BD-200) ***PRE ORDER***
,1,Pick / set builder,PAPER - Pick your players- (BD-1 - BD-200) ***PRE ORDER***
,1,Pick / set builder,PAPER - Pick your players- (BD-1 - BD-200) ***PRE ORDER***
,1,Pick / set builder,PAPER - Pick your players- (BD-1 - BD-200) ***PRE ORDER***
,1,Pick / set builder,PAPER - Pick your players- (BD-1 - BD-200) ***PRE ORDER***
,1,Pick / set builder,PAPER - Pick your players- (BD-1 - BD-200) ***PRE ORDER***
