player_name,wins,losses,win_rate,avg_win_margin,played
Rhylan Thomas,1418,1619,0.466908,3.3374,3076
Robert Garcia,1534,1762,0.465413,7.1917,3377
Mickey Moniak,1484,1708,0.464912,5.2393,3262
Tyler Mahle,1476,1701,0.464589,1.8421,3231
Austin Wynns,1303,1504,0.464197,26.5161,2868
Hunter Bigge,1530,1768,0.463918,2.0697,3331
Willie MacIver,1281,1483,0.463459,3.8526,2813
Armando Alvarez,1547,1793,0.463174,7.5163,3382
Fraser Ellard,1455,1688,0.462934,1.294,3196
Mike Vasil,1139,1334,0.460574,3.5449,2535
Sauryn Lao,1345,1585,0.459044,3.2094,2988
Hayden Senger,1566,1854,0.457895,8.4239,3480
Luken Baker,1580,1876,0.457176,1.6686,3524
Jared Triolo,1400,1665,0.45677,4.0381,3105
Carson Palmquist,1098,1310,0.45598,6.2189,2492
Nolan Jones,1521,1818,0.455526,2.1136,3395
Ryan Miller,1524,1823,0.455333,1.753,3397
Jeffrey Springs,1213,1460,0.453797,1.786,2727
Gio Urshela,1283,1549,0.453037,2.2309,2872
Garrett McDaniels,1278,1545,0.45271,2.2227,2918
Juan Mejia,922,1115,0.452626,3.4252,2077
Coby Mayo,1837,2223,0.452463,6.8188,4114
Luisangel Acuña,1205,1461,0.451988,8.3512,2719
Tommy Pham,1332,1616,0.451832,18.4322,3002
Robert Hassell III,1503,1825,0.451623,4.5671,3376
Jack O'Loughlin,1207,1471,0.450709,1.8929,2729
Justin Hagenman,1226,1502,0.449413,1.499,2765
Oliver Dunn,1621,1989,0.44903,4.5048,3652
Bryan Sammons,1374,1690,0.448433,1.9367,3113
Blaine Crim,1005,1237,0.44826,4.7545,2297
Brady Singer,1514,1872,0.447135,3.9918,3467
Alex Verdugo,1526,1889,0.446852,2.8522,3463
Nick Allen,1548,1922,0.44611,3.7844,3536
Tirso Ornelas,1102,1371,0.445613,7.0514,2527
Andrew Heaney,1403,1753,0.44455,2.98,3236
Ryan Johnson,1336,1672,0.444149,5.9353,3067
Zack Littell,1604,2019,0.442727,3.8405,3701
Dylan Carlson,1357,1710,0.442452,1.8616,3141
Kade Strowd,1197,1517,0.441046,2.2753,2762
Eric Wagaman,1234,1566,0.440714,2.3452,2844
Cole Henry,1246,1587,0.439816,8.787,2892
Luis Torrens,1383,1766,0.439187,4.5257,3215
Joc Pederson,1112,1425,0.438313,2.0533,2585
Agustín Ramírez,1397,1798,0.437246,2.1405,3306
Tomoyuki Sugano,1797,2333,0.435109,8.0022,4199
Rafael Marchán,561,733,0.433539,0.9653,1337
Davis Martin,1382,1807,0.433365,2.2953,3277
Clay Holmes,1258,1646,0.433196,5.1273,2956
Luis Mey,1196,1571,0.432237,2.6228,2859
Gerson Garabito,1339,1763,0.431657,1.2339,3156
Yoán Moncada,551,731,0.429797,1.3194,1299
Luis Contreras,1489,1981,0.429107,2.3485,3510
Matthew Lugo,1091,1454,0.428684,1.8253,2609
Gabriel Arias,1432,1914,0.427974,4.7246,3443
Justin Turner,1198,1603,0.427704,3.0137,2856
Derek Hill,1392,1876,0.425949,2.7077,3322
