player_name,CT_list,all_in_price,seller,title
Yaramil Hiraldo,Blue Rainbow,5.0,katertot1372,2025 Topps Update Blue Foil 4/150 Yaramil Hiraldo (RC) Orioles
Yaramil Hiraldo,Blue Rainbow,4.99,417dlthome,2025 Topps Update Yaramil Hiraldo RC Blue Rainbow Foil /150 Orioles #US210
Zac Veen,Gold 2025,9.98,3dtrading,2025 Topps Update #US286 Zac Veen Gold #/2025
Zac Veen,Gold 2025,9.98,3dtrading,2025 Topps Update #US286 Zac Veen Gold #/2025
Zac Veen,Gold 2025,8.88,2ndtonone78,2025 Topps Update #US2 ZAC VEEN RC Debut Gold /2025 BUY ANY 2 GET 1 FREE
Zac Veen,Gold 2025,8.88,2ndtonone78,2025 Topps Update #US2 ZAC VEEN RC Debut Gold /2025 BUY ANY 2 GET 1 FREE
Zac Veen,Gold 2025,6.49,spidamancollectibles,2025 Topps Update Zac Veen Rookie Gold /2025 #US286 Rockies
Zac Veen,Gold 2025,6.49,spidamancollectibles,2025 Topps Update Zac Veen Rookie Gold /2025 #US286 Rockies
Zac Veen,Gold 2025,4.32,coopersc_7,2025 Topps Update Series - Zac Veen #US286 Gold /2025 (RC)
Zac Veen,Gold 2025,4.32,coopersc_7,2025 Topps Update Series - Zac Veen #US286 Gold /2025 (RC)
Zac Veen,Gold 2025,4.25,22crazyforcards,2025 Topps Update Series - Zac Veen #US286 Gold /2025 (RC)
Zac Veen,Gold 2025,4.25,22crazyforcards,2025 Topps Update Series - Zac Veen #US286 Gold /2025 (RC)
Zac Veen,Gold 2025,2.79,ricbilde_0,2025 Topps Update Zac Veen Debut Gold Parallel /2025 #US2 Rookie RC Rockies
Zac Veen,Gold 2025,2.79,ricbilde_0,2025 Topps Update Zac Veen Debut Gold Parallel /2025 #US2 Rookie RC Rockies
