player_name,CT_list,all_in_price,seller,title
Drake Baldwin,1990,2.49,thesenate66,2025 Topps Update Series Drake Baldwin #U90-32 35th Anniversary RC
Drake Baldwin,1990,2.49,thesenate66,2025 Topps Update Series Drake Baldwin #U90-32 35th Anniversary RC
Drake Baldwin,1990,2.49,thesenate66,2025 Topps Update Series Drake Baldwin #U90-32 35th Anniversary RC
Dylan Carlson,Vintage 99,7.99,417dlthome,2025 Topps Update Series Dylan Carlson Vintage Stock #/99 Orioles US181
Evan Sisk,Gold 2025,9.74,curtis68,2025 Topps Update Rookie Gold Parallel Evan Sisk #US176 - #1186/2025
Evan Sisk,Gold 2025,4.99,mjbslugger5,2025 Topps Update Evan Sisk Gold #/2025 Rookie #US176 Kansas City Royals
Evan Sisk,Gold 2025,4.99,ntcardvault,2025 Topps Update Gold /2025- Evan Sisk RC
Evan Sisk,Gold 2025,4.49,csidener19,2025 Topps Update Series - Evan Sisk #US176 Gold /2025 (RC)
Evan Sisk,Gold 2025,3.99,417dlthome,2025 Topps Update Evan Sisk Rookie RC Gold #/2025 Royals #US176
Evan Sisk,Gold 2025,2.98,crows_cards,2025 Topps Update Series - Evan Sisk #US176 Gold /2025 (RC) Kansas City Royals
Gage Workman,Green Foil,59.99,417dlthome,2025 Topps Update Gage Workman Rookie RC Auto Green Foil #/99 Tigers #US118
Gage Workman,Green Foil,19.99,cojcoll89,2025 Topps Update #US118 Gage Workman Real Ones Autographs Green Foil #/99 RC
Gage Workman,Green Foil,11.99,sleepycards_28,Gage Workman 2025 Topps Update #US118 Real Ones Autographs Green Foil #/99
J.C. Escarra,Purple Rainbow,6.09,dasan_8967,2025 Topps Update #US96 J.C. Escarra Purple Holo Foil #/250
J.C. Escarra,Purple Rainbow,5.99,417dlthome,2025 Topps Update  J.C. Escarra Rookie RC Purple Refractor #/250 Yankees #US96
James Meeker,Purple Rainbow,7.99,bcsportscardshop,2025 Topps Update #US326 James Meeker RC Purple Rainbow Holo Foil #/250 ROOKIE
James Meeker,Purple Rainbow,4.99,417dlthome,2025 Topps Update James Meeker Rookie RC Purple #/250 Brewers #US326
James Meeker,Purple Rainbow,4.77,leggs-lists,James Meeker (RC) 2025 Topps Update Purple Rainbow Foil 081/250 #US-326 Brewers
James Meeker,Purple Rainbow,3.99,rs78,2025 Topps Update James Meeker Purple Rainbow Foil /250 #US-326 Brewers RC
Jamie Westbrook,Orange 25,30.0,caughtupintheskycards,2025 Topps Update Jamie Westbrook RC Orange Foil #03/25 Tampa Bay Rays
Jamie Westbrook,Orange 25,16.99,417dlthome,2025 Topps Update Jamie Westbrook Rookie RC Orange Foil #/25 Rays #US3
José Fermin,Purple Rainbow,5.99,hahnshobby,2025 Topps Update Jose Fermin RC Purple Foil Parallel /250 LA Angels #US338
José Fermin,Purple Rainbow,4.99,417dlthome,2025 Topps Update Jose Fermin Rookie RC Purple #/250 Angels  #US338
Justin Hagenman,Gold 2025,4.49,spidamancollectibles,2025 Topps Update Justin Hagenman Gold /2025 Mets Rookie
Justin Hagenman,Gold 2025,4.09,dasan_8967,2025 Topps Update #US108 Justin Hagenman Gold #/2025
Justin Hagenman,Gold 2025,3.84,antoniomartinez2002,Justin Hagenman 2025 Topps Update Series #US108 (RC) Gold 301/2025
Justin Hagenman,Gold 2025,3.5,1st_base_cards,2025 Topps Update #Justin Hagenman RC Gold /2025 New York Mets
Justin Hagenman,Gold 2025,3.48,rt_card_vault,2025 TOPPS UPDATE SERIES JUSTIN HAGENMAN ROOKIE GOLD METS RC /2025
Justin Hagenman,Gold 2025,2.98,2gssportscards,2025 Topps Update Series - Gold /2025 Justin Hagenman RC #US108 New York Mets
Justin Hagenman,Gold 2025,1.99,mrgames123,2025 Topps Update #US108 Justin Hagenman Gold #1449/2025 Rookie
Levi Jordan,Blue Rainbow,18.99,longo_45,2025 Topps Update Blue Rainbow Levi Jordan RC 37/150 Reds #US6
Levi Jordan,Blue Rainbow,7.31,et_allcards,2025 Topps Update Series Levi Jordan RC Blue Foil /150 Reds #US6
Levi Jordan,Blue Rainbow,6.5,jrgnb,2025 Topps Update Series Levi Jordan RC US6 Blue Rainbow Foil /150
Levi Jordan,Blue Rainbow,5.99,417dlthome,2025 Topps Update Levi Jordan Rookie RC Blue Foil #/150 Reds #US6
Levi Jordan,Gold 2025,5.75,caughtupintheskycards,2025 Topps Update Levi Jordan RC Gold #0439/2025 Cincinnati Reds
Levi Jordan,Gold 2025,4.99,nine18,2025 Topps Update US6 Levi Jordan RC Gold /2025 Rookie Reds
