seller_username,title,all_in_price,CT_list,player_guess
22crazyforcards,2025 Topps Update Curtis Mead  Green Foil #/99 Rays #US41,5.49,Green Foil,Curtis Mead
raiders4,2025 Topps Update Series Curtis Mead Gold Diamante Foil Parallel /50 US41 ⚾️,9.95,"Diamante, Gold 50",Curtis Mead
iron_patriots_sportscardsandcollectibles,2025 Topps Update Curtis Mead US41 Purple Foil  166/250 - Rays,2.5,Purple Rainbow,Curtis Mead
55in88,2025 Topps Update Curtis Mead Holiday #US 41,2.84,,Curtis Mead
jakpi20,2025 Topps Update Curtis Mead #US41 Tampa Bay Rays Baseball Card,1.99,,Curtis Mead
tommypgoods,2025 Topps Update Series - Pink Diamante Foil (SP) #US274 Maverick Handley (RC),1.83,Diamante,Maverick Handley
billybaseball,2025 Topps Update Chrome Maverick Handley Negative Refractor (RC) #USC58 Orioles,6.98,Chrome,Maverick Handley
generalbentleytrading,2025 Topps Update Series #US274 Maverick Handley (RC),1.45,,Maverick Handley
jojbreak,2025 Topps Update #US274 Maverick Handley Baltimore Orioles Rookie Card RC,1.79,,Maverick Handley
mllrddck,2025 Topps Update #US274 Rainbow Foil Parallel Maverick Handley “RC” Orioles,3.0,Base Rainbow,Maverick Handley
rack_pack_cards,Maverick Handley RC 2025 Topps Update Rookie Orioles,2.0,,Maverick Handley
dkbbl8,2025 Topps Update #US274 Maverick Handley Rookie Baltimore Orioles,1.39,,Maverick Handley
steelcitygaragesale,2025 Topps Update MAVERICK HANDLEY #US274 Baltimore Orioles Rookie RC,1.59,,Maverick Handley
slimchubba,2025 Topps Update Maverick Handley #US274 Holiday RC Orioles,3.48,,Maverick Handley
pskell02,2025 Topps Update Maverick Handley #US274,1.84,,Maverick Handley
junkwaxkids,2025 Topps Update #US274 Maverick Handley,1.29,,Maverick Handley
rysch173,2025 Topps Update Series Maverick Handley US274 Pink Holo Foil RC,4.99,,Maverick Handley
gth_5015,2025 Topps Update US274 Maverick Handley (RC) Orioles,1.88,,Maverick Handley
glr_cards,2025 Topps Update Baseball #US274 Maverick Handley Baltimore Orioles Rookie,2.0,,Maverick Handley
vladtheinhaler,2025 Topps Update Maverick Handley Rookie #US274 Baltimore Orioles,1.89,,Maverick Handley
rkchasingvb,2025 Topps Update #US274 Maverick Handley Diamante Foil,2.83,Diamante,Maverick Handley
ericscardsii,Maverick Handley 2025 Topps Update Baltimore Orioles #US274 RC,1.66,,Maverick Handley
comebackcollectibles,2025 Topps Update Maverick Handley Rookie #US274 Diamante Foil Baltimore Orioles,3.99,Diamante,Maverick Handley
rkchasingvb,2025 Topps Update #US274 Maverick Handley Rainbow Foil,2.83,Base Rainbow,Maverick Handley
caughtupintheskycards,2025 Topps Update Maverick Handley RC Gold #0568/2025 Orioles,7.0,Gold 2025,Maverick Handley
muck1201,2025 Topps Update Series - #US274 Maverick Handley (RC) Orioles,1.74,,Maverick Handley
hbggaming,2025 Topps Update Series - #US274 Maverick Handley RC Diamante Foil,3.97,Diamante,Maverick Handley
ricul37,"2025 Topps Update Series Baseball US274 Maverick Handley, Baltimore Orioles RC",1.75,,Maverick Handley
comebackcollectibles,2025 Topps Update Series - Maverick Handley US274 - Rookie - Baltimore Orioles,1.99,,Maverick Handley
rhay5699,Maverick Handley 2025 Topps Update Series Rookie Cards,1.74,,Maverick Handley
dasan_8967,2025 Topps Update #US274 Maverick Handley Sandglitter,2.59,Sandglitter,Maverick Handley
dkh7575,2025 Topps Update Maverick Handley Purple Foil Rookie RC  /250 #US274 (M1),3.75,Purple Rainbow,Maverick Handley
kjcouch-1,2025 Topps Update Maverick Handley Gold Holo Foil RC 36/50 - Orioles,10.79,Gold 50,Maverick Handley
comebackcollectibles,2025 Topps Update Maverick Handley Rookie #US274 Baltimore Orioles,1.99,,Maverick Handley
pnw-406cardcollecting,Maverick Handley Rainbow Foil Rookie 2025 Topps Update Series Card US274 Orioles,1.75,Base Rainbow,Maverick Handley
bluelion_sportscards,2025 Topps Update #US274 Maverick Handley RC Baltimore Orioles,1.98,,Maverick Handley
jts_fieldofcards,2025 Topps Update Series #US274 Maverick Handley (RC) Baltimore Orioles,1.74,,Maverick Handley
2019brian,2025 Topps Update #US274 Maverick Handley Sandglitter,2.0,Sandglitter,Maverick Handley
jekk_cards,2025 Topps Update #US274 Maverick Handley Green Holo Foil #/99,8.94,Green Foil,Maverick Handley
zoeysdown,2025 Topps Update Series - Maverick Handley #US274 Silver Foilboard (RC),4.0,,Maverick Handley
xunfilteredcardsx,2025 Topps Update #US274 Maverick Handley Orange Rainbow Foil #/25,30.99,Orange 25,Maverick Handley
easternctsportscards,Maverick Handley 2025 Topps Update #US274 RC Baltimore Orioles,2.79,,Maverick Handley
